time,ratio,delta,q20,q80,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,delta_lo,delta_hi,delta_mid,side_arc,recovered_side,recovered_label,certain,certain_correct,short_arc,buy_arc,short_pred,buy_pred,nearest_threshold_dist
2026-09-03 15:15:00+00:00,0.91242413,-0.25865559000000005,-0.04083002199999991,0.037528736000000035,0.9124,0.4771,0.5229,0.47705000000000003,0.47714999999999996,0.9122287025528253,0.9125944343501959,0.00036573179737064976,True,-0.2590882011492699,-0.2582511099893243,-0.2586696555692971,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.21782556800000014
2026-09-03 15:30:00+00:00,0.90533094,-0.2553659399999999,-0.04087896599999991,0.037528736000000035,0.9055,0.4752,0.5248,0.47515,0.47524999999999995,0.905306277984186,0.9056693663649356,0.0003630883807496099,True,-0.2556877792821567,-0.25485780226421006,-0.2552727907731834,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.214486974
2026-09-03 15:45:00+00:00,0.88583268,-0.2759175599999999,-0.04089155199999989,0.03751334200000006,0.8857,0.4697,0.5303,0.46965,0.46975,0.8855472800980485,0.8859028760018859,0.00035559590383738016,True,-0.2763811600705818,-0.2755582717339835,-0.27596971590228264,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.235026008
2026-09-03 16:00:00+00:00,0.85082464,-0.28689887999999997,-0.040931587999999984,0.03749270800000001,0.8508,0.4597,0.5403,0.45965,0.45975,0.8506523549551217,0.8509949097639982,0.0003425548088764607,True,-0.28724181928325354,-0.28644230301787643,-0.286842061150565,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.24596729199999998
2026-09-03 16:15:00+00:00,0.8268633,-0.3027197300000001,-0.04094406400000005,0.03747667599999992,0.8268,0.4526,0.5474,0.45255,0.45265,0.8266508356927573,0.8269845619804512,0.0003337262876939029,True,-0.3030478119486013,-0.30226062060232306,-0.3026542162754622,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.261775666
2026-09-03 16:30:00+00:00,0.82506029,-0.30179082999999995,-0.04096104199999999,0.03746996800000009,0.8252,0.4521,0.5479,0.45205,0.45214999999999994,0.8249840313897254,0.8253171488546133,0.00033311746488784433,True,-0.30199671943447925,-0.301211293463303,-0.3016040064488911,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.26082978799999995
2026-09-03 16:45:00+00:00,0.82433393,-0.27941929,-0.040973426000000035,0.037437714000000115,0.8245,0.4519,0.5481,0.45185000000000003,0.45194999999999996,0.8243181610872938,0.8246510354894625,0.00033287440216867026,True,-0.2798375464350631,-0.27906201805003494,-0.279449782242549,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.23844586399999995
2026-09-03 17:00:00+00:00,0.82301801,-0.27298654,-0.04101290600000009,0.03741666600000017,0.8232,0.4515,0.5485,0.45145,0.45155,0.8229878771306172,0.8233202662047588,0.0003323890741416813,True,-0.27322845239459004,-0.27245674312144896,-0.2728425977580195,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.2319736339999999
2026-09-03 17:15:00+00:00,0.8181897,-0.24192232999999996,-0.04103604200000007,0.03741666600000017,0.8182,0.45,0.55,0.44995,0.45004999999999995,0.8180165439505501,0.8183471224656785,0.0003305785151284102,True,-0.24235226206572646,-0.24159725903602125,-0.24197476055087386,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.20088628799999989
2026-09-03 17:30:00+00:00,0.81791854,-0.19936878000000013,-0.041084412000000015,0.03741666600000017,0.8179,0.4499,0.5501,0.44985,0.44994999999999996,0.8176860856130148,0.8180165439505498,0.0003304583375349779,True,-0.19986662295149626,-0.19912919482907743,-0.19949790889028685,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.15828436800000012
2026-09-03 17:45:00+00:00,0.81458865,-0.16921947999999998,-0.04108773000000014,0.03741666600000017,0.8146,0.4489,0.5511,0.44885,0.44894999999999996,0.8143880976140797,0.814717357771527,0.0003292601574472753,True,-0.1695420680440891,-0.16881928806800495,-0.16918067805604703,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.12813174999999982
2026-09-03 18:00:00+00:00,0.81286821,-0.11861102000000001,-0.04110114200000003,0.03740749600000011,0.8129,0.4484,0.5516,0.44835,0.44845,0.8127435874195595,0.8130722509291995,0.0003286635096400037,True,-0.11906361822131728,-0.11836183888248575,-0.11871272855190151,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.07750987799999998
2026-09-03 18:15:00+00:00,0.80593304,-0.10649109000000001,-0.04112280600000004,0.03740538999999989,0.806,0.4463,0.5537,0.44625000000000004,0.44634999999999997,0.8058690744920994,0.8061952497064933,0.00032617521439382013,True,-0.1067253598580965,-0.10603345284633203,-0.10637940635221427,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.06536828399999997
