time,ratio,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,archive_inside_cell
2026-08-25 00:40:00+00:00,0.9595066,0.9596,0.4897,0.5103,0.48965000000000003,0.48975,0.9594396002743216,0.9598236158745713,0.0003840156002496986,True,True
2026-08-25 00:45:00+00:00,0.95810998,0.9581,0.4893,0.5107,0.48925,0.48934999999999995,0.9579050416054821,0.9582884558895524,0.00038341428407029365,True,True
2026-08-25 00:50:00+00:00,0.95280489,0.9527,0.4879,0.5121,0.48785,0.48795,0.9525529629991214,0.9529342837613514,0.00038132076222996414,True,True
2026-08-25 00:55:00+00:00,0.94878641,0.9489,0.4869,0.5131,0.48685,0.48695,0.9487479294553249,0.9491277653250171,0.00037983586969214667,True,True
2026-08-25 01:00:00+00:00,0.94915071,0.9493,0.487,0.513,0.48695,0.48705,0.9491277653250171,0.9495077492933034,0.00037998396828631265,True,True
2026-08-25 01:05:00+00:00,0.94403101,0.944,0.4856,0.5144,0.48555000000000004,0.48564999999999997,0.9438235008261251,0.9442014192670358,0.00037791844091072946,True,True
2026-08-25 01:10:00+00:00,0.93674341,0.9369,0.4837,0.5163,0.48365,0.48375,0.9366708627868695,0.937046004842615,0.0003751420557455143,True,True
2026-08-25 01:15:00+00:00,0.93429421,0.9342,0.483,0.517,0.48295,0.48305,0.9340489314379653,0.9344230583228551,0.0003741268848898027,True,True
2026-08-25 01:20:00+00:00,0.9325236,0.9324,0.4825,0.5175,0.48245000000000005,0.48255,0.9321804656554924,0.9325538699391246,0.0003734042836321949,True,True
2026-08-25 01:25:00+00:00,0.93142709,0.9312,0.4822,0.5178,0.48215,0.48224999999999996,0.9310611180843875,0.931434089811685,0.0003729717272974442,True,True
2026-08-25 01:30:00+00:00,0.9319675,0.932,0.4824,0.5176,0.48235000000000006,0.48245,0.9318072056408773,0.9321804656554923,0.0003732600146150178,True,True
2026-08-25 01:35:00+00:00,0.92943539,0.9294,0.4817,0.5183,0.48165,0.48175,0.9291984180572973,0.929570670525808,0.00037225246851069205,True,True
2026-08-25 01:40:00+00:00,0.92880342,0.9286,0.4815,0.5185,0.48145000000000004,0.48155,0.9284543438434096,0.9288263091908572,0.00037196534744754484,True,True
2026-08-25 01:45:00+00:00,0.92636393,0.9264,0.4809,0.5191,0.48085,0.48095,0.9262255610131946,0.9265966669877661,0.00037110597457146177,True,True
2026-08-25 01:50:00+00:00,0.92247455,0.9223,0.4798,0.5202,0.47975,0.47985,0.9221528111484864,0.9225223493223109,0.00036953817382456844,True,True
2026-08-25 01:55:00+00:00,0.91867765,0.9186,0.4788,0.5212,0.47875,0.47885,0.9184652278177459,0.9188333493236113,0.00036812150586540415,True,True
2026-08-25 02:00:00+00:00,0.91893528,0.919,0.4789,0.5211,0.47885,0.47895,0.9188333493236113,0.9192016121293541,0.0003682628057428694,True,True
2026-08-25 02:05:00+00:00,0.91606589,0.9161,0.4781,0.5219,0.47805000000000003,0.47814999999999996,0.9158923268512311,0.9162594615310912,0.00036713467986004833,True,True
2026-08-25 02:10:00+00:00,0.91337098,0.9135,0.4774,0.5226,0.47735000000000005,0.47745,0.9133263178035016,0.9136924696201318,0.00036615181663024465,True,True
2026-08-25 02:15:00+00:00,0.94189629,0.9417,0.485,0.515,0.48495,0.48505,0.9415590719347636,0.941936110301971,0.00037703836720737183,True,True
2026-08-25 02:20:00+00:00,0.8882274,0.8882,0.4704,0.5296,0.47035000000000005,0.47045,0.8880392712168415,0.8883958077613068,0.00035653654446532457,True,True
2026-08-25 02:25:00+00:00,0.87762266,0.8776,0.4674,0.5326,0.46735000000000004,0.46745,0.8774054257016805,0.8777579569993426,0.00035253129766210645,True,True
2026-08-25 02:30:00+00:00,0.8704691,0.8706,0.4654,0.5346,0.46535000000000004,0.46545,0.8703824932198636,0.8707323917313626,0.00034989851149902496,True,True
2026-08-25 02:35:00+00:00,0.86580581,0.8657,0.464,0.536,0.46395000000000003,0.46404999999999996,0.8654976214905328,0.8658456945610596,0.0003480730705268664,True,True
2026-08-25 02:40:00+00:00,0.86830744,0.8685,0.4648,0.5352,0.46475,0.46485,0.8682858477347034,0.8686349621601419,0.00034911442543850146,True,True
2026-08-25 02:45:00+00:00,0.86304054,0.8629,0.4632,0.5368,0.46315,0.46324999999999994,0.8627177051317872,0.8630647414997669,0.000347036367979614,True,True
2026-08-25 02:50:00+00:00,0.86304152,0.8629,0.4632,0.5368,0.46315,0.46324999999999994,0.8627177051317872,0.8630647414997669,0.000347036367979614,True,True
2026-08-25 02:55:00+00:00,0.86195574,0.8619,0.4629,0.5371,0.46285,0.46295,0.8616773713115516,0.8620240201098593,0.0003466487983077027,True,True
2026-08-25 03:00:00+00:00,0.86371344,0.8636,0.4634,0.5366,0.46335000000000004,0.46345,0.8634119072020872,0.8637592023110612,0.0003472951089740217,True,True
2026-08-25 03:05:00+00:00,0.86084415,0.8608,0.4626,0.5374,0.46255,0.46265,0.8606381989022235,0.8609844607797525,0.0003462618775290638,True,True
2026-08-25 03:10:00+00:00,0.85928358,0.8594,0.4622,0.5378,0.46215000000000006,0.46225,0.8592544389699732,0.8596001859600186,0.00034574699004541465,True,True
2026-08-25 03:15:00+00:00,0.85643371,0.8563,0.4613,0.5387,0.46125000000000005,0.46135,0.8561484918793505,0.8564930845632599,0.000344592683909406,True,True
2026-08-25 03:20:00+00:00,0.85661149,0.8567,0.4614,0.5386,0.46135000000000004,0.46144999999999997,0.8564930845632601,0.856837805217714,0.00034472065445390054,True,True
2026-08-25 03:25:00+00:00,0.85559623,0.8556,0.4611,0.5389,0.46105,0.46114999999999995,0.8554596901382318,0.8558040270947386,0.00034433695650681884,True,True
2026-08-25 03:30:00+00:00,0.85582189,0.856,0.4612,0.5388,0.46115000000000006,0.46125,0.855804027094739,0.8561484918793503,0.00034446478461125363,True,True
2026-08-25 03:35:00+00:00,0.85552821,0.8556,0.4611,0.5389,0.46105,0.46114999999999995,0.8554596901382318,0.8558040270947386,0.00034433695650681884,True,True
2026-08-25 03:40:00+00:00,0.85612688,0.856,0.4612,0.5388,0.46115000000000006,0.46125,0.855804027094739,0.8561484918793503,0.00034446478461125363,True,True
2026-08-25 03:45:00+00:00,0.85376035,0.8539,0.4606,0.5394,0.46055,0.46065,0.8537399202891834,0.8540836191712247,0.00034369888204122123,True,True
2026-08-25 03:50:00+00:00,0.85377893,0.8539,0.4606,0.5394,0.46055,0.46065,0.8537399202891834,0.8540836191712247,0.00034369888204122123,True,True
2026-08-25 03:55:00+00:00,0.85260655,0.8525,0.4602,0.5398,0.46015000000000006,0.46025,0.8523663980735392,0.8527095877721168,0.00034318969857760617,True,True
2026-08-25 04:00:00+00:00,0.85256119,0.8525,0.4602,0.5398,0.46015000000000006,0.46025,0.8523663980735392,0.8527095877721168,0.00034318969857760617,True,True
2026-08-25 04:05:00+00:00,0.8503835,0.8505,0.4596,0.5404,0.45955,0.45965,0.850309926912758,0.8506523549551217,0.00034242804236372937,True,True
2026-08-25 04:10:00+00:00,0.8535439,0.8536,0.4605,0.5395,0.46045,0.46055,0.8533963488091929,0.8537399202891834,0.0003435714799905343,True,True
