source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,parent_bin,response_bin,parent_class,vf_class
47,2022-02-18 19:45:00+00:00,2022-02-18 22:30:00+00:00,2022-02-18 22:45:00+00:00,True,1.3433449481458188,18,-0.0165369187536026,-0.0970834632226831,-0.0561702940134658,0.0927585166182517,0.5443794594318122,1.4841464107673752,0.2848077866224011,0.024573561297766,0.3893470407884559,0.7759013225130839,0.3470341174465148,2.75,0.1287907150879812,5.0,417.5,2_3,LOW,LARGE,VF2PLUS
53,2022-04-06 19:45:00+00:00,2022-04-06 20:00:00+00:00,,False,0.0,20,-0.0478527180570818,-0.0563468346084816,-0.0701326935733848,0.1403087121768797,0.5947305822398442,1.128603902255126,0.6496001483193118,0.0256316083097148,0.3689612126616147,0.5148996879179663,0.3611745987426431,0.25,0.2815514935354454,0.0,0.0,2_3,HIGH,LARGE,VF1
54,2022-04-07 03:45:00+00:00,2022-04-07 06:30:00+00:00,2022-04-07 06:45:00+00:00,False,0.0,20,-0.0425434513203405,-0.0597271126475028,-0.0776343028128545,0.1548685007131648,0.557316330099936,1.1893269404405962,0.5704883379680461,0.0192114203248298,0.1485680621348017,0.6813307043066388,0.4021203471333232,2.75,0.1212157645418039,0.0,10.5,1P5_2,LOW,LARGE,VF1
55,2022-04-08 19:45:00+00:00,2022-04-08 20:45:00+00:00,2022-04-08 21:00:00+00:00,True,-1.1938838111221934,20,-0.017642106384229,-0.0671178345510928,-0.0725238366224311,0.0764873929198363,0.4930718280669948,1.083589712567988,0.3094604292947873,0.0304456921511489,0.704989354097331,0.2435413576024014,0.3209692066461038,1.0,0.0847290867583442,1.0,48.75,GE3,LOW,LARGE,VF1
56,2022-04-26 23:45:00+00:00,2022-04-27 00:00:00+00:00,2022-04-27 00:30:00+00:00,False,0.0,21,-0.0573471139475953,-0.0355662553846122,-0.0812937945141105,0.0832521133009962,0.0418638046146008,1.2833854577552604,0.5868795200370129,0.0199707970975515,0.206768794177152,0.5391780749927736,0.3738290454113959,0.25,0.2741676958246846,0.0,0.0,1P5_2,HIGH,LARGE,VF1
58,2022-06-11 19:45:00+00:00,2022-06-11 21:15:00+00:00,2022-06-11 21:30:00+00:00,False,0.0,23,-0.0209161151496851,-0.0573779688187818,-0.0401540976500612,0.1269515638427011,0.1283196907685308,0.772613851566967,0.3656704813607406,0.0242861759003582,0.2732011461978202,0.7131913545581509,0.3763790550453832,1.5,0.109594366927293,0.0,0.0,2_3,LOW,LARGE,VF1
59,2022-06-12 07:45:00+00:00,2022-06-12 11:45:00+00:00,,False,0.0,23,-0.0444288840993651,-0.0937996605221147,-0.0760901641357677,0.0584377267442367,0.0513323094643884,1.1221264821335293,0.3671617522357528,0.0176221492597995,0.1902171681924508,0.935773225501866,0.4346603355227181,4.0,0.1722977133708252,1.0,14.5,1P5_2,MID,LARGE,VF1
60,2022-06-18 11:45:00+00:00,2022-06-18 14:00:00+00:00,2022-06-18 14:15:00+00:00,True,-1.117224740061162,23,-0.0700946796211265,-0.1109650507348946,-0.3309854518893874,0.0462218313642313,0.0340218943360303,0.852096153036543,0.2038965535079727,0.0414415313256405,0.0183072100313507,0.628815047021943,0.3166436610103739,2.25,0.1025078369905956,1.0,160.75,GE3,LOW,LARGE,VF1
61,2022-08-17 23:45:00+00:00,2022-08-18 00:45:00+00:00,2022-08-18 01:00:00+00:00,False,0.0,24,-0.0230486395892319,-0.0387156740080415,-0.0246844793311248,0.1358349910385437,0.6104061871506521,1.0281440750194284,0.6235154511255976,0.0101547981249779,0.277463719203515,0.6845258184272709,0.3778771238797572,1.0,0.2432500843739475,0.0,0.0,1_1P5,MID,COMPACT,VF1
62,2022-08-26 19:45:00+00:00,2022-08-26 20:00:00+00:00,2022-08-26 20:30:00+00:00,False,0.0,25,-0.0390580682715587,-0.0382330226333964,-0.0292790399246442,0.1494971757184759,0.0437565949957062,1.260404470444047,0.990344898048546,0.0146523499997819,0.450890938543424,0.3792852656286169,0.3284391290633573,0.25,0.3683096961883057,0.0,0.0,1_1P5,HIGH,COMPACT,VF1
