flow_id,signal_time_r,touch_time_r,class_time_r,side_r,state_r,activation_state,high_volume,atr14_r,residual_atr,fut_netdelta_norm_15,fut_disp_atr_15,fut_response_eff_15,fut_absorption_gap_15,fut_netdelta_norm_30,fut_disp_atr_30,fut_response_eff_30,fut_absorption_gap_30,fut_netdelta_norm_60,fut_disp_atr_60,fut_response_eff_60,fut_absorption_gap_60,spot_netdelta_norm_15,spot_disp_atr_15,spot_response_eff_15,spot_absorption_gap_15,spot_netdelta_norm_30,spot_disp_atr_30,spot_response_eff_30,spot_absorption_gap_30,spot_netdelta_norm_60,spot_disp_atr_60,spot_response_eff_60,spot_absorption_gap_60,fut_minus_spot_netdelta_60,fut_minus_spot_absorption_gap_60,mechanism_cell,pressure_mag_60,response_60,fut_elasticity_60,prior_n,pressure_med90,response_med90,book_state,signal_time_a,side_a,state_a,touch_time_a,class_time_a,atr14_a,level,class_price,signal_close,signal_time,touch_time,class_time,side,state,period,atr14
2499,2025-04-28 15:45:00+00:00,2025-04-28 16:00:00+00:00,2025-04-28 16:00:00+00:00,-1,ACCEPT,IGNITION,True,452.67857142857247,-2.397285996055215,0.1916072987465689,-0.1857830374753576,-0.7431321499014304,0.3773903362219265,-0.6309921356352436,-0.1605996055226756,-0.254519187249448,-0.4703925301125679,3.2713431887998654,1.3146193293885378,0.4018591916278961,1.956723859411328,0.7312357763397623,-0.1974690335305702,-0.2700483755308192,0.9287048098703324,1.4393175244207446,-0.1822706114398302,-0.1266368319340691,1.6215881358605748,3.6547606971280064,1.290584615384615,0.3531242459728719,2.3641760817433912,-0.383417508328141,-0.4074522223320636,WEAK,3.2713431887998654,1.3146193293885378,0.4018591916278961,100,1.2156842499523108,1.0299179132136977,DRIVEN_MOVE,2025-04-28 15:45:00+00:00,-1,ACCEPT,2025-04-28 16:00:00+00:00,2025-04-28 16:00:00+00:00,452.67857142857247,93520.2,93514.7,93772.8,2025-04-28 15:45:00+00:00,2025-04-28 16:00:00+00:00,2025-04-28 16:00:00+00:00,-1,ACCEPT,2025_H1,452.67857142857247
2501,2025-04-30 13:45:00+00:00,2025-04-30 13:45:00+00:00,2025-04-30 13:45:00+00:00,-1,ACCEPT,IGNITION,True,358.91428571428486,-4.515284190415525,15.809890035739866,1.8255054927559269,0.1154660461666201,13.98438454298394,6.402921480641733,1.0492755930584083,0.1638745057597121,5.353645887583324,4.544280576465309,1.6937191530011022,0.3727144758122599,2.8505614234642067,10.1759950881043,1.7998447699410705,0.1768716233014973,8.376150318163228,6.074182620043387,1.0643766916095896,0.1752296165902873,5.0098059284337975,2.5295919758233234,1.6549633816271074,0.6542412363118187,0.874628594196216,2.014688600641985,1.9759328292679907,ABSORPTION,4.544280576465309,1.6937191530011022,0.37271447581225997,97,1.211546130196626,1.056817684394865,DRIVEN_MOVE,2025-04-30 13:45:00+00:00,-1,ACCEPT,2025-04-30 13:45:00+00:00,2025-04-30 13:45:00+00:00,358.91428571428486,93595.5,92978.1,92978.1,2025-04-30 13:45:00+00:00,2025-04-30 13:45:00+00:00,2025-04-30 13:45:00+00:00,-1,ACCEPT,2025_H1,358.91428571428486
2502,2025-05-03 13:30:00+00:00,2025-05-03 23:30:00+00:00,2025-05-03 23:45:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,141.6357142857149,1.2080286449140507,2.652181356636788,1.4516112764133688,0.5473273057971219,1.2005700802234194,2.0572156832595363,1.7199051893691395,0.8360354256312356,0.3373104938903968,1.346891167807153,2.098340813959323,1.5579141538032288,-0.7514496461521702,5.097599928978553,1.4996217661002116,0.2941819261992776,3.597978162878342,3.617849477732623,1.7139038781582456,0.4737355406041886,1.9039455995743773,2.3332536742478323,2.11761561349543,0.9075805330845916,0.2156380607524024,-0.9863625064406796,-0.9670877069045728,THIN_LIQUIDITY,1.346891167807153,2.098340813959323,1.5579141538032286,95,1.211546130196626,1.056817684394865,DRIVEN_MOVE,2025-05-03 13:30:00+00:00,-1,ACCEPT,2025-05-03 23:30:00+00:00,2025-05-03 23:45:00+00:00,141.6357142857149,95804.8,95803.3,96207.2,2025-05-03 13:30:00+00:00,2025-05-03 23:30:00+00:00,2025-05-03 23:45:00+00:00,-1,ACCEPT,2025_H1,141.6357142857149
2508,2025-05-14 05:00:00+00:00,2025-05-14 07:15:00+00:00,2025-05-14 08:00:00+00:00,-1,REJECT,LOWVOL_REJECT,False,202.9428571428559,2.089750809517147,1.3279837516015516,0.6341686611290899,0.477542485263303,0.6938150904724617,-0.7018277761982487,0.4671265662396343,0.6655857492133267,-1.168954342437883,0.2426846984975415,1.1451499366464657,4.580599746585863,-0.902465238148924,3.049482551469933,0.6229339715613074,0.204275302792284,2.426548579908625,1.503457131334211,0.4641207940307055,0.3087023795742226,1.0393363373035056,1.5513129956727454,1.0713853301421656,0.6906313123984026,0.4799276655305797,-1.308628297175204,-1.382392903679504,WEAK,0.2426846984975415,1.1451499366464657,4.580599746585863,85,1.2198223697079955,1.0138859995839349,THIN_BOOK,2025-05-14 05:00:00+00:00,-1,REJECT,2025-05-14 07:15:00+00:00,2025-05-14 08:00:00+00:00,202.9428571428559,103409.0,103517.8,103703.1,2025-05-14 05:00:00+00:00,2025-05-14 07:15:00+00:00,2025-05-14 08:00:00+00:00,-1,REJECT,2025_H1,202.9428571428559
2512,2025-05-19 04:00:00+00:00,2025-05-19 04:00:00+00:00,2025-05-19 04:45:00+00:00,-1,ACCEPT,IGNITION,True,435.8642857142841,-3.619704691827411,3.736939591682277,0.4955670998508728,0.1326130882484457,3.2413724918314046,5.6218781487895,1.399518198652928,0.2489413967384319,4.222359950136571,4.411660292317547,2.3885875354386417,0.5414259886687379,2.0230727568789058,1.990776127545934,0.4896019403156175,0.2459352076514794,1.5011741872303166,4.999976739646912,1.402982579767614,0.2805978213144027,3.596994159879298,4.407729972165896,2.3843889808426453,0.5409562282398598,2.0233409913232507,0.0039303201516514,-0.0002682344443449,EFFICIENT_IGNITION,4.411660292317547,2.3885875354386417,0.5414259886687379,82,1.2125080254951899,0.9593829206869443,DRIVEN_MOVE,2025-05-19 04:00:00+00:00,-1,ACCEPT,2025-05-19 04:00:00+00:00,2025-05-19 04:45:00+00:00,435.8642857142841,103217.2,102960.1,103625.1,2025-05-19 04:00:00+00:00,2025-05-19 04:00:00+00:00,2025-05-19 04:45:00+00:00,-1,ACCEPT,2025_H1,435.8642857142841
2520,2025-05-23 23:45:00+00:00,2025-05-23 23:45:00+00:00,2025-05-24 00:30:00+00:00,-1,REJECT,ABSORPTION,True,409.7357142857145,-4.175618429998415,6.158226236825677,0.7172916339801126,0.1164769864560624,5.440934602845565,5.527091883986097,1.4257971166082588,0.2579651553720841,4.101294767377839,5.977672778831241,2.418144099855313,0.4045293526970391,3.559528678975928,5.440007918874756,0.7314226940710964,0.1344525053967914,4.70858522480366,4.566195761224849,1.423771420602118,0.3118069165348709,3.142424340622731,4.872168842941441,2.433861548384859,0.4995437610728368,2.4383072945565822,1.1055039358898,1.121221384419346,EFFICIENT_IGNITION,5.977672778831241,2.418144099855313,0.4045293526970391,83,1.276452022498748,0.9340109419970732,DRIVEN_MOVE,2025-05-23 23:45:00+00:00,-1,REJECT,2025-05-23 23:45:00+00:00,2025-05-24 00:30:00+00:00,409.7357142857145,106880.0,107441.3,107271.5,2025-05-23 23:45:00+00:00,2025-05-23 23:45:00+00:00,2025-05-24 00:30:00+00:00,-1,REJECT,2025_H1,409.7357142857145
2525,2025-05-27 01:15:00+00:00,2025-05-27 01:15:00+00:00,2025-05-27 01:15:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,352.4714285714269,-5.890690228184692,3.792443348381485,1.1640659830584177,0.3069435390657082,2.628377365323067,3.564342322201872,1.4696226644510264,0.4123124356762588,2.094719657750846,2.600325764864037,2.1672678636566225,0.8334601352419173,0.4330579012074147,5.681239773428889,1.1720382604466493,0.2062997351261713,4.509201512982239,5.4979962933120685,1.528464313216899,0.2780038820826725,3.9695319800951694,3.657561871095048,2.194220402869569,0.5999134068544505,1.4633414682254795,-1.0572361062310112,-1.0302835670180648,THIN_LIQUIDITY,2.600325764864037,2.1672678636566225,0.8334601352419173,82,1.273958654365556,0.9129839466876783,DRIVEN_MOVE,2025-05-27 01:15:00+00:00,-1,ACCEPT,2025-05-27 01:15:00+00:00,2025-05-27 01:15:00+00:00,352.4714285714269,108629.8,108319.7,108319.7,2025-05-27 01:15:00+00:00,2025-05-27 01:15:00+00:00,2025-05-27 01:15:00+00:00,-1,ACCEPT,2025_H1,352.4714285714269
2527,2025-05-28 11:30:00+00:00,2025-05-28 13:45:00+00:00,2025-05-28 13:45:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,262.6071428571418,0.5456820345437369,-0.5027110537878212,0.8472732218142288,1.685407980250692,-1.34998427560205,0.0802659491822644,1.287093703250379,5.148374813001516,-1.2068277540681147,0.9353103390518668,1.980524955800328,2.117505680315697,-1.0452146167484615,2.98642063636479,0.7867645858833183,0.2634473443905091,2.1996560504814715,1.7660996850203776,1.231573507411939,0.6973408793726888,0.5345261776084387,2.0890976064915487,1.9480810553515715,0.9324988211647984,0.1410165511399772,-1.153787267439682,-1.1862311678884387,THIN_LIQUIDITY,0.9353103390518668,1.980524955800328,2.1175056803156966,82,1.2998314247634926,0.9359665099595738,THIN_BOOK,2025-05-28 11:30:00+00:00,-1,ACCEPT,2025-05-28 13:45:00+00:00,2025-05-28 13:45:00+00:00,262.6071428571418,108178.1,108011.5,108762.7,2025-05-28 11:30:00+00:00,2025-05-28 13:45:00+00:00,2025-05-28 13:45:00+00:00,-1,ACCEPT,2025_H1,262.6071428571418
2531,2025-05-30 16:30:00+00:00,2025-05-30 16:30:00+00:00,2025-05-30 16:30:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,444.81428571428427,1.479269036837208,4.813939815337798,1.4680283906606335,0.304953623637611,3.345911424677164,3.792425226812964,1.9338407682178755,0.5099219239829325,1.8585844585950888,2.3256998344573114,2.368628962327765,1.0184585849104086,-0.0429291278704537,4.672534649244621,1.4506503516716258,0.3104632625690947,3.221884297572996,3.4865849196812406,1.9269839740501584,0.5526852259277059,1.559600945631082,2.540757597501601,2.3922568005909457,0.9415525522557994,0.1485007969106555,-0.2150577630442898,-0.1914299247811093,THIN_LIQUIDITY,2.3256998344573114,2.368628962327765,1.0184585849104086,82,1.2125080254951899,0.9359665099595738,DRIVEN_MOVE,2025-05-30 16:30:00+00:00,-1,ACCEPT,2025-05-30 16:30:00+00:00,2025-05-30 16:30:00+00:00,444.81428571428427,104568.0,104357.9,104357.9,2025-05-30 16:30:00+00:00,2025-05-30 16:30:00+00:00,2025-05-30 16:30:00+00:00,-1,ACCEPT,2025_H1,444.81428571428427
2534,2025-06-02 05:15:00+00:00,2025-06-02 10:15:00+00:00,2025-06-02 10:30:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,209.30714285714097,-0.4777667815582065,-0.364937240037401,-0.2627717298570136,-0.7200463559983166,-0.1021655101803874,0.558772461396439,-0.1404634337780849,-0.25137859053943,0.6992358951745239,1.3849152022226603,1.245060232740714,0.8990154998244715,0.1398549694819464,-0.3008307572966927,-0.2144217315633453,-0.7127653219044788,-0.0864090257333473,-0.5815810439098664,-0.1142340374705838,-0.1964198088414448,-0.4673470064392825,0.3813123643224802,1.3223151213185982,3.4678002735843654,-0.941002756996118,1.0036028379001802,1.0808577264780643,WEAK,1.3849152022226603,1.245060232740714,0.8990154998244716,81,1.2198223697079955,0.9340109419970732,DRIVEN_MOVE,2025-06-02 05:15:00+00:00,-1,ACCEPT,2025-06-02 10:15:00+00:00,2025-06-02 10:30:00+00:00,209.30714285714097,104280.1,104260.0,104764.6,2025-06-02 05:15:00+00:00,2025-06-02 10:15:00+00:00,2025-06-02 10:30:00+00:00,-1,ACCEPT,2025_H1,209.30714285714097
2537,2025-06-04 00:15:00+00:00,2025-06-04 12:00:00+00:00,2025-06-04 12:15:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,224.53571428571428,-0.0,2.564208489792969,0.6128201049784883,0.238989968022439,1.9513883848144808,3.8262710908432394,1.5182439955463396,0.396794675416411,2.308027095296899,2.417394730929075,2.7002385875615835,1.1170035877937914,-0.2828438566325086,18.68656112020326,0.6219055193255899,0.0332808971819436,18.06465560087767,17.48057393653045,1.5962716717035077,0.0913168913960919,15.884302264826944,2.437013320865043,2.764682678543044,1.134455300212184,-0.3276693576780007,-0.0196185899359679,0.0448255010454921,THIN_LIQUIDITY,2.417394730929075,2.7002385875615835,1.1170035877937914,80,1.2125080254951899,0.9129839466876783,DRIVEN_MOVE,2025-06-04 00:15:00+00:00,-1,ACCEPT,2025-06-04 12:00:00+00:00,2025-06-04 12:15:00+00:00,224.53571428571428,104969.4,104910.0,105236.3,2025-06-04 00:15:00+00:00,2025-06-04 12:00:00+00:00,2025-06-04 12:15:00+00:00,-1,ACCEPT,2025_H1,224.53571428571428
2547,2025-06-11 18:30:00+00:00,2025-06-11 18:30:00+00:00,2025-06-11 19:15:00+00:00,-1,REJECT,ABSORPTION,True,313.40714285714574,2.9026141258518234,10.381756835192494,0.7702440914374481,0.0741920759332798,9.611512743755046,5.962105425456525,1.419559222371645,0.2380969676098854,4.54254620308488,8.749713808057132,3.6001093967226327,0.4114545316222217,5.149604411334499,4.565321744931938,0.71389566287573,0.1563735707495842,3.851426082056208,3.1904795985162298,1.3733573398363426,0.4304548258120937,1.8171222586798872,3.3945251492535404,3.5996946008158783,1.0604412819293605,-0.2051694515623379,5.355188658803591,5.354773862896836,EFFICIENT_IGNITION,8.749713808057132,3.6001093967226327,0.4114545316222217,74,1.2481371961033716,0.972786376052899,DRIVEN_MOVE,2025-06-11 18:30:00+00:00,-1,REJECT,2025-06-11 18:30:00+00:00,2025-06-11 19:15:00+00:00,313.40714285714574,108388.0,108830.1,108765.8,2025-06-11 18:30:00+00:00,2025-06-11 18:30:00+00:00,2025-06-11 19:15:00+00:00,-1,REJECT,2025_H1,313.40714285714574
2555,2025-06-17 09:45:00+00:00,2025-06-17 09:45:00+00:00,2025-06-17 10:00:00+00:00,-1,ACCEPT,LOWVOL_ACCEPT,False,223.62857142857268,6.904752778842456,8.303577258741264,0.6367701545930456,0.0766862443439917,7.666807104148218,4.717030316688492,0.9377155998466664,0.1987936343188426,3.779314716841825,3.195276249297384,0.987798645713524,0.3091434256836895,2.20747760358386,0.8555997406223913,0.6239810910949608,0.7292908838904703,0.2316186495274305,0.2577818382112004,0.8702823559474011,3.376042168007117,-0.6125005177362006,1.0787290093832378,1.0079660150760288,0.9344015098401148,0.070762994307209,2.116547239914146,2.136714609276651,WEAK,3.195276249297384,0.987798645713524,0.3091434256836895,73,1.276452022498748,0.9705647881277752,DRIVEN_MOVE,2025-06-17 09:45:00+00:00,-1,ACCEPT,2025-06-17 09:45:00+00:00,2025-06-17 10:00:00+00:00,223.62857142857268,106067.9,106034.1,106112.2,2025-06-17 09:45:00+00:00,2025-06-17 09:45:00+00:00,2025-06-17 10:00:00+00:00,-1,ACCEPT,2025_H1,223.62857142857268
