clock,split,model,n_total,n_top,top_hit,top_mean_rev,top_ci_lo,top_ci_hi,threshold,q80
D15,BRIDGE_2025,FULL_POST,301,41,0.1951219512195122,0.004777575424060256,-0.003731482142303567,0.01337646963853872,0.01978413047920935,0.3230157078443151
D15,OOS_2026,FULL_POST,174,25,0.28,0.0009900300957078035,-0.018895971679691294,0.02128924869776903,0.01978413047920935,0.3230157078443151
D30,DEV_2021_2024,CORE,1155,231,0.33766233766233766,0.00459220619771619,-0.0022425114789344906,0.011484353148310813,0.01938082041043815,0.30069398631408056
D30,BRIDGE_2025,CORE,301,78,0.19230769230769232,0.004423723494060511,-0.0013361204773455935,0.01039654225234253,0.01938082041043815,0.30069398631408056
D30,OOS_2026,CORE,174,56,0.23214285714285715,-0.0026350078427544088,-0.0119412552432385,0.0076750004243104145,0.01938082041043815,0.30069398631408056
D30,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,231,0.37662337662337664,0.008488265855224797,0.0024908700711666182,0.014928630030549159,0.01938082041043815,0.30408136917614603
D30,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,77,0.19480519480519481,0.004638286560691984,-0.001397136441513547,0.010987661997830555,0.01938082041043815,0.30408136917614603
D30,OOS_2026,CORE_PLUS__RANGE_STATE,174,53,0.24528301886792453,-0.005712167415803231,-0.016370232673894036,0.006522923816488005,0.01938082041043815,0.30408136917614603
D30,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,231,0.35064935064935066,0.00770719906393964,0.001893534746619653,0.01389957198850223,0.01938082041043815,0.3011035029896264
D30,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,78,0.21794871794871795,0.006339378251134771,0.00048561086585734506,0.012115427787392793,0.01938082041043815,0.3011035029896264
D30,OOS_2026,CORE_PLUS__EXHAUSTION,174,61,0.22950819672131148,-0.0042564432870730445,-0.014134439456362727,0.006050063535562463,0.01938082041043815,0.3011035029896264
D30,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,231,0.37662337662337664,0.008804887237372388,0.0022261591632130955,0.015701360179236457,0.01938082041043815,0.29785105139652396
D30,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,66,0.19696969696969696,0.0063052736803290476,5.916557895580723e-05,0.012862692318266077,0.01938082041043815,0.29785105139652396
D30,OOS_2026,CORE_PLUS__ACCEPTANCE,174,48,0.2916666666666667,0.0020844356247336007,-0.010124461955348043,0.014401695650664736,0.01938082041043815,0.29785105139652396
D30,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,231,0.3593073593073593,0.006444228723670557,0.0005210560218756268,0.012814494126740334,0.01938082041043815,0.30789057632445765
D30,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,74,0.20270270270270271,0.0056155330509096955,0.0004421660230541672,0.011395460042222,0.01938082041043815,0.30789057632445765
D30,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,58,0.2413793103448276,-0.0020162022496078434,-0.012450610658815177,0.008323084996230318,0.01938082041043815,0.30789057632445765
D30,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,231,0.38095238095238093,0.008298931722679962,0.0019179253718107085,0.015599843283655124,0.01938082041043815,0.3064463500197697
D30,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,75,0.17333333333333334,0.003190277080427754,-0.002309500296850409,0.008577999033039452,0.01938082041043815,0.3064463500197697
D30,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,53,0.24528301886792453,-0.006743707594263794,-0.017902448129791197,0.005220167186777441,0.01938082041043815,0.3064463500197697
D30,DEV_2021_2024,FULL_POST,1155,231,0.4069264069264069,0.01101757967608426,0.004618951565416211,0.0175725490366913,0.01938082041043815,0.3175710817406998
D30,BRIDGE_2025,FULL_POST,301,45,0.1111111111111111,0.001503800933254398,-0.004912991164668605,0.008393970762185126,0.01938082041043815,0.3175710817406998
D30,OOS_2026,FULL_POST,174,35,0.22857142857142856,-0.008105307519154491,-0.02386484440584765,0.007547913938359849,0.01938082041043815,0.3175710817406998
D60,DEV_2021_2024,CORE,1155,231,0.3333333333333333,0.0069677284941487465,0.0012005644879010723,0.012633422017007642,0.01953081674901369,0.2983653429180934
D60,BRIDGE_2025,CORE,301,79,0.21518987341772153,0.0017370535796255475,-0.004130466771434591,0.007735597786241517,0.01953081674901369,0.2983653429180934
D60,OOS_2026,CORE,174,61,0.21311475409836064,-0.006002726325347181,-0.015391074371385443,0.0035142279682341864,0.01953081674901369,0.2983653429180934
D60,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,231,0.38095238095238093,0.007773370977676011,0.001756735396262345,0.013629165819343874,0.01953081674901369,0.29530171396757227
D60,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,84,0.20238095238095238,-3.392292240835577e-05,-0.005555815045264653,0.005273267574805929,0.01953081674901369,0.29530171396757227
D60,OOS_2026,CORE_PLUS__RANGE_STATE,174,56,0.26785714285714285,-0.006270197414787513,-0.01667961527384063,0.004253693938591313,0.01953081674901369,0.29530171396757227
D60,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,231,0.36363636363636365,0.008048164316229782,0.002129070378377538,0.013852027362343547,0.01953081674901369,0.29889208953870877
D60,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,76,0.23684210526315788,0.0021478819644830203,-0.003987398108086033,0.008597682495796346,0.01953081674901369,0.29889208953870877
D60,OOS_2026,CORE_PLUS__EXHAUSTION,174,67,0.22388059701492538,-0.006596734457248903,-0.015379590277438598,0.002255299467104386,0.01953081674901369,0.29889208953870877
D60,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,231,0.38095238095238093,0.00894278514750961,0.0030788796368857547,0.014910239221321623,0.01953081674901369,0.29840253005588685
D60,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,63,0.23809523809523808,0.004519391683970728,-0.0017783219863851424,0.010815702094481223,0.01953081674901369,0.29840253005588685
D60,OOS_2026,CORE_PLUS__ACCEPTANCE,174,51,0.29411764705882354,-0.002429519051382445,-0.012181389847514879,0.008435443543250805,0.01953081674901369,0.29840253005588685
D60,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,231,0.35064935064935066,0.007015314921740746,0.0008957119584311776,0.012441033786321111,0.01953081674901369,0.29975405874704003
D60,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,81,0.19753086419753085,-0.0005562777965133013,-0.006042007775669614,0.004949880195548028,0.01953081674901369,0.29975405874704003
D60,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,59,0.23728813559322035,-0.00283277877664727,-0.012065653553189224,0.006615382158366419,0.01953081674901369,0.29975405874704003
D60,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,231,0.36796536796536794,0.007483237269892158,0.001759230275656672,0.01330215092500464,0.01953081674901369,0.3025838402917288
D60,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,83,0.20481927710843373,0.0008382775639192223,-0.004643242249456771,0.006124025716588043,0.01953081674901369,0.3025838402917288
D60,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,51,0.19607843137254902,-0.00699474214337958,-0.017425431911199565,0.003919275854229578,0.01953081674901369,0.3025838402917288
D60,DEV_2021_2024,FULL_POST,1155,231,0.4155844155844156,0.009616740010035709,0.003951806318748807,0.015456294403566469,0.01953081674901369,0.3068203234652643
D60,BRIDGE_2025,FULL_POST,301,45,0.15555555555555556,-0.0003897076915056536,-0.007512196569000016,0.0065184184412907555,0.01953081674901369,0.3068203234652643
D60,OOS_2026,FULL_POST,174,41,0.21951219512195122,-0.007345411416522958,-0.018805993503031148,0.005329670550331676,0.01953081674901369,0.3068203234652643
