clock,split,model,n,auc,brier,logloss
D60,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,0.5229598893499309,0.16367028065747655,0.5106070260474217
D60,OOS_2026,CORE_PLUS__ACCEPTANCE,174,0.5562178828365879,0.16240746634932662,0.508399087808686
D60,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,0.5991313520381661,0.18274294840599706,0.5500099239160945
D60,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,0.4939834024896265,0.16745070786072266,0.5203290911858002
D60,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,0.5391572456320658,0.16621605852605656,0.5175082335258937
D60,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,0.6052007000327642,0.18252472788822452,0.5495127516302475
D60,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,0.5139004149377593,0.16647957192452661,0.5170309013410208
D60,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,0.5414182939362797,0.1660802413748917,0.5163121874976556
D60,DEV_2021_2024,FULL_POST,1155,0.6324827988524577,0.1787216461015192,0.5400887744177256
D60,BRIDGE_2025,FULL_POST,301,0.5147302904564315,0.1647160449427363,0.5116328546958562
D60,OOS_2026,FULL_POST,174,0.5603288797533401,0.1631665505430232,0.5079015908133082
