transition_time,old,new,runner_up_prior_bar,match
2020-07-06 16:00:00+00:00,PULLBACK,REVERSAL,EXPANSION,False
2020-07-07 08:00:00+00:00,REVERSAL,PULLBACK,PULLBACK,True
2020-07-08 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-07-09 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-07-11 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-07-16 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-07-21 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-07-22 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-07-23 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-07-30 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-07-31 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-08-02 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-08-22 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-08-22 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-08-25 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-08-26 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-08-29 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-08-31 08:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-09-01 12:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2020-09-02 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-09-02 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-09-07 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-09-13 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-09-13 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-09-14 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-09-16 20:00:00+00:00,RANGE,REVERSAL,REVERSAL,True
2020-09-17 08:00:00+00:00,REVERSAL,PULLBACK,PULLBACK,True
2020-09-18 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-09-22 00:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-09-22 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-09-28 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-10-02 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-10-05 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-10-08 00:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2020-10-08 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-10-09 16:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2020-10-13 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-10-21 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-10-25 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-10-27 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-10-28 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-05 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-11-08 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-13 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-11-13 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-17 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-11-20 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-20 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-11-22 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-26 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-11-28 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-11-30 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-12-01 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-12-08 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2020-12-09 16:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2020-12-13 08:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2020-12-13 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-12-16 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-12-21 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-12-26 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2020-12-29 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2020-12-30 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-01-01 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-01-02 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-01-04 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-01-06 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-01-10 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-01-11 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-01-12 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-01-19 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-01-19 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-01-20 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-01-22 00:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2021-01-22 12:00:00+00:00,EXPANSION,PULLBACK,REVERSAL,False
2021-01-27 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-01-29 16:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2021-01-30 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-03 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-02-03 20:00:00+00:00,RANGE,EXPANSION,PULLBACK,False
2021-02-04 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-06 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-07 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-08 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-10 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-11 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-12 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-19 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-22 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-23 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-24 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-02-26 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-02-26 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-03-05 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-03-08 08:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-03-09 04:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2021-03-10 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-03-10 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-03-11 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-03-13 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-03-14 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-03-21 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-03-22 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-03-22 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-03-23 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-03-25 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-03-26 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-04-04 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-04-05 00:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-04-07 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-04-08 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-04-09 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-04-10 08:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2021-04-10 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-04-13 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-04-14 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-04-18 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-04-21 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-04-23 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-04-23 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-04-30 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-05-03 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-05-04 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-05-06 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-05-11 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-05-11 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-05-13 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-05-14 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-05-17 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-05-18 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-05-19 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-05-20 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-05-21 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-05-22 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-06-02 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-06-04 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-06-08 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-06-09 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-06-13 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-06-14 12:00:00+00:00,RANGE,EXPANSION,REVERSAL,False
2021-06-15 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-06-18 16:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2021-06-19 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-06-21 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-06-23 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-06-29 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-06-30 00:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2021-07-01 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-07-02 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-07-03 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-07-09 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-07-11 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-07-13 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-07-24 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-07-24 16:00:00+00:00,EXPANSION,REVERSAL,REVERSAL,True
2021-07-25 04:00:00+00:00,REVERSAL,EXPANSION,PULLBACK,False
2021-07-30 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-08-06 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-08-08 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-08-09 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-08-10 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-08-20 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-08-21 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-08-30 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-09-02 08:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2021-09-07 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-09-10 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-09-10 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-09-11 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-09-15 12:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-09-16 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-09-20 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-09-22 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-01 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-10-04 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-05 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-10-09 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-11 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-10-12 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-15 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-10-16 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-20 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-10-21 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-10-27 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-10-27 20:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2021-11-08 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-11-09 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-11-16 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-11-16 12:00:00+00:00,RANGE,REVERSAL,EXPANSION,False
2021-11-17 00:00:00+00:00,REVERSAL,EXPANSION,EXPANSION,True
2021-11-18 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-11-18 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-11-19 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-11-26 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-11-26 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-12-03 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-12-06 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-12-21 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2021-12-22 20:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2021-12-24 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-12-25 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2021-12-29 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2021-12-30 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-01-05 20:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2022-01-09 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-01-15 20:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-01-17 00:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-01-21 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-01-25 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-01-29 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-01-31 00:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-02-01 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-02-02 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-02-04 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-02-08 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-02-17 20:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2022-02-19 04:00:00+00:00,EXPANSION,RANGE,REVERSAL,False
2022-02-20 04:00:00+00:00,RANGE,EXPANSION,PULLBACK,False
2022-02-21 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-02-21 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-02-22 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-02-24 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-02-25 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-02-28 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-03-03 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-03-04 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-03-05 08:00:00+00:00,EXPANSION,RANGE,RANGE,True
2022-03-06 08:00:00+00:00,RANGE,EXPANSION,PULLBACK,False
2022-03-07 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-03-09 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-03-10 00:00:00+00:00,EXPANSION,PULLBACK,RANGE,False
2022-03-16 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-03-19 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-04-06 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-04-08 04:00:00+00:00,EXPANSION,PULLBACK,REVERSAL,False
2022-04-09 00:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-04-09 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-04-11 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-04-11 20:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2022-04-13 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-05-05 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-05-13 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-05-23 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-05-24 12:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-05-30 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-06-01 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-06-06 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-06-07 00:00:00+00:00,RANGE,REVERSAL,EXPANSION,False
2022-06-07 12:00:00+00:00,REVERSAL,PULLBACK,PULLBACK,True
2022-06-11 16:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-06-17 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-06-25 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-06-27 04:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-06-30 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-06-30 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-07-07 16:00:00+00:00,PULLBACK,EXPANSION,RANGE,False
2022-07-09 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-07-12 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-07-13 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-07-18 12:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-07-21 04:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-07-25 04:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-07-26 20:00:00+00:00,RANGE,PULLBACK,EXPANSION,False
2022-07-28 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-07-30 00:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-08-04 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-08-05 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-08-07 08:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-08-08 00:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-08-10 00:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-08-10 16:00:00+00:00,RANGE,PULLBACK,PULLBACK,True
2022-08-11 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-08-11 20:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-08-17 16:00:00+00:00,PULLBACK,RANGE,RANGE,True
2022-08-19 20:00:00+00:00,RANGE,EXPANSION,EXPANSION,True
2022-08-21 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-08-26 20:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-08-29 12:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-09-09 08:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-09-13 04:00:00+00:00,EXPANSION,REVERSAL,REVERSAL,True
2022-09-13 16:00:00+00:00,REVERSAL,EXPANSION,EXPANSION,True
2022-09-16 08:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
2022-09-19 04:00:00+00:00,PULLBACK,EXPANSION,EXPANSION,True
2022-09-19 16:00:00+00:00,EXPANSION,PULLBACK,PULLBACK,True
