signal_ts,entry_ts,exit_ts,side,entry_price,atr,rejection_ts,rejection_minute,rejection_close,action_minute,action_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1612174800,1612175100,1612176000,1,34485.25,288.58142857142855,1612175820,12,34263.88,15,34202.48,34596.97,34291.51,-0.6572246960088769,-1.0039833066840953,0.3467586106752184,0.3467586106752184,0.0,1612176600,INITIAL_STOP,0.21924487765274353,0.9846440964917108,-0.9798620839871776,0.21924487765274353,1.55567876360721,-1.0043958872712282,0.21924487765274353,1.6815011360992442,-1.201220749776003,0.21924487765274353,1.6815011360992442,-1.198725786730164,historical
1613265000,1613267400,1613268480,-1,47425.58,258.49857142857167,1613268300,15,47622.26,18,47658.0,47618.32,47354.38,-0.6055256648742597,-1.00611551800047,0.4005898531262102,0.4005898531262102,0.0,1613280300,INITIAL_STOP,0.04154761838973225,0.7985343936689269,-0.7608552686115981,0.04154761838973225,1.1341261902524944,-0.6357868791758942,0.09895605944216992,1.1341261902524944,-0.9155176320399516,0.18495266622088782,1.1341261902524944,-0.03508723452464391,historical
1613283900,1613284500,1613284800,1,49008.19,295.3828571428582,1613284620,2,48830.78,5,48867.0,49151.65,48926.63,-0.3241903539232418,-1.0055304710271165,0.6813401171038747,0.6813401171038747,0.0,1613292900,INITIAL_STOP,0.0,1.3209635920451939,-0.512927532306745,0.0,1.3209635920451939,-0.8977501354174705,0.16663120018571873,1.3209635920451939,0.07166969743866906,0.6365975392710678,1.3209635920451939,-0.48306797957131314,historical
1613634000,1613634300,1613634660,-1,51579.01,226.662857142856,1613634480,3,51700.0,6,51730.0,51662.53,51547.8,-0.45168097510041805,-1.0075852760130346,0.5559043009126166,0.5559043009126166,0.0,1613634900,INITIAL_STOP,0.21812131296325443,2.6064261584228383,-1.8262806937931693,0.21812131296325443,3.1890977159280083,-1.9455768164170835,0.21812131296325443,3.1890977159280083,-1.527863913679219,0.21812131296325443,3.1890977159280083,-1.2730361014470701,historical
1614223500,1614225300,1614225600,1,50453.96,406.34499999999906,1614225420,2,50332.45,5,50251.01,50508.91,50365.59,-0.33710713474182047,-1.0041388442497603,0.6670317095079399,0.6670317095079399,0.0,1614228900,INITIAL_STOP,0.12491848060146465,1.4371039387712423,-1.227897476282465,0.12491848060146465,1.4371039387712423,-0.4451635925137502,0.12491848060146465,1.6959480244619745,-1.5354440192447296,0.12491848060146465,2.191438309810624,-0.6689635654431637,historical
1614391200,1614393300,1614393720,1,48003.84,503.39928571428544,1614393540,4,47758.52,7,47745.69,48150.0,47791.19,-0.34505437915655524,-1.003178645749828,0.6581242665932727,0.6581242665932727,0.0,1614409500,INITIAL_STOP,0.0729639493784464,0.9512131097297026,-0.8265208390385932,0.0729639493784464,1.3981744113945274,-1.203835637430658,0.0729639493784464,1.3981744113945274,-0.6746731861529921,0.0729639493784464,1.3981744113945274,-0.5789638727564971,historical
1614467100,1614467400,1614468060,1,45674.32,335.2178571428573,1614467880,8,45283.45,11,45360.0,45761.0,45406.03,-0.6296476739007673,-1.0045417548644617,0.3748940809636945,0.3748940809636945,0.0,1614468600,INITIAL_STOP,0.535025196833611,1.3852782305750062,-1.287819222041094,0.535025196833611,2.2300422965875146,0.292078712138172,2.3273223170432966,2.2300422965875146,1.5678759015991777,2.994112570716271,2.2300422965875146,2.34402787100074,historical
1614588300,1614589500,1614589860,-1,46958.13,329.70571428571515,1614589680,3,47256.75,6,47373.91,47099.85,46938.83,-0.8454567985591871,-1.0047474791372335,0.1592906805780464,0.1592906805780464,0.0,1614590400,INITIAL_STOP,0.19653890482420178,1.5176261081310647,-0.9935526920110602,0.19653890482420178,1.5176261081310647,-0.8902181165888233,0.19653890482420178,1.7707306082480425,-0.6549780323578718,0.19653890482420178,2.3604383129544035,-1.593148002114448,historical
1614748500,1614749400,1614749760,1,49428.0,237.06071428571417,1614749580,3,49207.44,6,49166.89,49444.0,49210.0,-0.7412486453641091,-1.0069501182638558,0.26570147289974677,0.26570147289974677,0.0,1614750000,INITIAL_STOP,0.2509061873841979,2.2761257664552565,-2.2760835831688686,0.2509061873841979,2.4339756240866577,-1.4565045121050924,0.2509061873841979,2.4339756240866577,-0.5111348810581907,1.991051117103817,2.4339756240866577,1.3371258116516405,historical
1614756000,1614757800,1614758100,1,49915.53,280.3978571428576,1614757920,2,49785.56,5,49782.71,49935.95,49824.33,-0.32172327772357356,2.32478071193057,-2.6465039896541436,0.0,2.6465039896541436,1614762300,PROFIT_STOP,0.14433063223939843,0.9469758531881937,-0.05542125092662005,2.27355517797415,0.9469758531881937,2.157826761463947,3.3326574229984423,0.9469758531881937,2.5889284868184714,5.47247406109176,0.9469758531881937,4.676141299225328,historical
